,Tenor,F_LIBOR,LIBOR_DF,OIS_DF,IRS
0,0.5,0.025,0.9876543209876544,0.9987515605493134,0.025
1,1.0,0.03100524344569333,0.972576830291244,0.9970089730807579,0.027999999999999997
2,1.5,0.031751106440129906,0.9573779260741386,0.9952754751146462,
3,2.0,0.032263304243705715,0.9421790218570334,0.9935419771485345,0.03
4,2.5,0.03421825277153445,0.9263303193483345,0.9917959873367048,
5,3.0,0.034813887980981395,0.9104816168396357,0.9900499975248751,0.0315
6,3.5,0.03520689637376817,0.8947312614377312,0.9881216457052384,
7,4.0,0.03583776460614585,0.8789809060358268,0.9861932938856016,0.0325
8,4.5,0.03471266592767641,0.8639852896724142,0.9842557825027223,
9,5.0,0.03532579213823883,0.8489896733090015,0.9823182711198428,0.033
10,5.5,0.038887757294212566,0.8327968719922937,0.9799293648184814,
11,6.0,0.03965887973914084,0.8166040706755857,0.9775404585171199,
12,6.5,0.04046120272563902,0.8004112693588779,0.9751515522157583,
13,7.0,0.04129665897089563,0.78421846804217,0.9727626459143969,0.035
14,7.5,0.039663298112881495,0.7689685535526745,0.9701251714358411,
15,8.0,0.04046580169080061,0.753718639063179,0.9674876969572853,
16,8.5,0.041301449829982406,0.7384687245736835,0.9648502224787296,
17,9.0,0.042172339205945875,0.723218810084188,0.9622127480001739,
18,9.5,0.04308074714690813,0.7079688955946926,0.9595752735216181,
19,10.0,0.04402915151874476,0.692718981105197,0.9569377990430623,0.037
20,10.5,0.041735064803591015,0.6785591265454752,0.9542672749527096,
21,11.0,0.04262453364044472,0.6643992719857534,0.9515967508623568,
22,11.5,0.0435527412834289,0.6502394174260316,0.9489262267720041,
23,12.0,0.04452227484220517,0.6360795628663098,0.9462557026816514,
24,12.5,0.045535957039462005,0.621919708306588,0.9435851785912985,
25,13.0,0.04659687365799403,0.6077598537468663,0.9409146545009458,
26,13.5,0.04770840491614514,0.5935999991871445,0.9382441304105931,
27,14.0,0.04887426144360951,0.5794401446274227,0.9355736063202403,
28,14.5,0.05009852566423634,0.5652802900677009,0.9329030822298876,
29,15.0,0.05138569955828398,0.5511204355079791,0.9302325581395349,0.04
30,15.5,0.05318440793816093,0.5368445555861421,0.9277070398821424,
31,16.0,0.05463733509739743,0.5225686756643052,0.9251815216247501,
32,16.5,0.05617187590071593,0.5082927957424682,0.9226560033673576,
33,17.0,0.057795105651889056,0.4940169158206313,0.9201304851099653,
34,17.5,0.05951494182727579,0.47974103589879435,0.9176049668525729,
35,18.0,0.061340273223560615,0.4654651559769574,0.9150794485951804,
36,18.5,0.06328111362333377,0.4511892760551205,0.9125539303377881,
37,19.0,0.06534878558624957,0.4369133961332835,0.9100284120803956,
38,19.5,0.06755614148884304,0.42263751621144663,0.9075028938230033,
39,20.0,0.069917830928234,0.40836163628960964,0.9049773755656109,0.045000000000000005
40,20.5,0.04619679750534811,0.39914209306501697,0.9026469617229527,
41,21.0,0.04728909999365705,0.38992254984042424,0.9003165478802944,
42,21.5,0.048434307396453935,0.38070300661583156,0.8979861340376362,
43,22.0,0.049636358724710394,0.3714834633912389,0.895655720194978,
44,22.5,0.05089959397751542,0.3622639201666462,0.8933253063523198,
45,23.0,0.052228806499903246,0.3530443769420535,0.8909948925096616,
46,23.5,0.0536293037644211,0.3438248337174608,0.8886644786670033,
47,24.0,0.05510697820116617,0.33460529049286813,0.8863340648243451,
48,24.5,0.056668390069288144,0.3253857472682754,0.8840036509816869,
49,25.0,0.05832086482791121,0.31616620404368273,0.8816732371390286,
50,25.5,0.060072608055029786,0.30694666081909006,0.8793428232963704,
51,26.0,0.061932841718165044,0.2977271175944973,0.8770124094537122,
52,26.5,0.06391196657299547,0.28850757436990465,0.874681995611054,
53,27.0,0.06602175672752564,0.279288031145312,0.8723515817683958,
54,27.5,0.06827559405819406,0.2700684879207193,0.8700211679257375,
55,28.0,0.07068875233774019,0.26084894469612663,0.8676907540830793,
56,28.5,0.0732787438246616,0.2516294014715339,0.8653603402404211,
57,29.0,0.0760657449434321,0.24240985824694122,0.8630299263977628,
58,29.5,0.07907312294431357,0.23319031502234852,0.8606995125551046,
59,30.0,0.08232809263985441,0.22397077179775585,0.8583690987124464,0.05
