Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,112.820000,113.129997,110.209999,110.379997,104.863991,41403400
2015-01-02,111.389999,111.440002,107.349998,109.330002,103.866470,53204600
2015-01-05,108.290001,108.650002,105.410004,106.250000,100.940392,64285500
2015-01-06,106.540001,107.430000,104.629997,106.260002,100.949890,65797100
2015-01-07,107.199997,108.199997,106.699997,107.750000,102.365440,40105900
2015-01-08,109.230003,112.150002,108.699997,111.889999,106.298531,59364500
2015-01-09,112.669998,113.250000,110.209999,112.010002,106.412552,53645500
2015-01-12,112.599998,112.629997,108.800003,109.250000,103.790474,49650800
2015-01-13,111.430000,112.800003,108.910004,110.220001,104.711998,67091900
2015-01-14,109.040001,110.489998,108.500000,109.800003,104.312988,48956600
2015-01-15,110.000000,110.059998,106.660004,106.820000,101.481903,60014000
2015-01-16,107.029999,107.580002,105.199997,105.989998,100.693382,78513300
2015-01-20,107.839996,108.970001,106.500000,108.720001,103.286957,49012100
2015-01-21,108.949997,111.059998,108.269997,109.550003,104.075485,48575900
2015-01-22,110.260002,112.470001,109.720001,112.400002,106.783058,53796400
2015-01-23,112.300003,113.750000,111.529999,112.980003,107.334084,46051200
2015-01-26,113.739998,114.360001,112.800003,113.099998,107.448074,55615000
2015-01-27,112.419998,112.480003,109.029999,109.139999,103.685966,95568700
2015-01-28,117.629997,118.120003,115.309998,115.309998,109.547638,146477100
2015-01-29,116.320000,119.190002,115.559998,118.900002,112.958244,84436400
2015-01-30,118.400002,120.000000,116.849998,117.160004,111.305183,83745500
2015-02-02,118.050003,119.169998,116.080002,118.629997,112.701721,62739100
2015-02-03,118.500000,119.089996,117.610001,118.650002,112.720718,51640300
2015-02-04,118.500000,120.510002,118.309998,119.559998,113.585258,70149700
2015-02-05,120.019997,120.230003,119.250000,119.940002,114.395966,42246200
2015-02-06,120.019997,120.250000,118.449997,118.930000,113.432640,43372000
2015-02-09,118.550003,119.839996,118.430000,119.720001,114.186127,38889800
2015-02-10,120.169998,122.150002,120.160004,122.019997,116.379814,62008500
2015-02-11,122.769997,124.919998,122.500000,124.879997,119.107613,73561800
2015-02-12,126.059998,127.480003,125.570000,126.459999,120.614594,74474500
2015-02-13,127.279999,127.279999,125.650002,127.080002,121.205933,54272200
2015-02-17,127.489998,128.880005,126.919998,127.830002,121.921249,63152400
2015-02-18,127.629997,128.779999,127.449997,128.720001,122.770134,44082300
2015-02-19,128.479996,129.029999,128.330002,128.449997,122.512596,37362400
2015-02-20,128.619995,129.500000,128.050003,129.500000,123.514084,48948400
2015-02-23,130.020004,133.000000,129.660004,133.000000,126.852280,70974100
2015-02-24,132.940002,133.600006,131.169998,132.169998,126.060654,68977900
2015-02-25,131.559998,131.600006,128.149994,128.789993,122.836899,74711700
2015-02-26,128.789993,130.869995,126.610001,130.419998,124.391541,91287500
2015-02-27,130.000000,130.570007,128.240005,128.460007,122.522156,62014800
2015-03-02,129.250000,130.279999,128.300003,129.089996,123.123016,48096700
2015-03-03,128.960007,129.520004,128.089996,129.360001,123.380539,37816300
2015-03-04,129.100006,129.559998,128.320007,128.539993,122.598434,30977700
2015-03-05,128.580002,128.750000,125.760002,126.410004,120.566910,56517100
