Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,49.51,50.54,48.48,49.17,21111450
2000-01-05,48.14,51.23,47.79,49.86,24043172
2000-01-06,50.54,53.3,50.54,51.23,48439552
2000-01-07,50.89,51.23,48.14,49.51,17127386
2000-01-10,49.86,50.89,48.14,50.2,18013517
2000-01-11,51.58,51.92,46.76,47.45,19339717
2000-01-12,47.79,48.48,46.76,47.11,15652797
2000-01-13,47.11,47.11,44.7,44.7,12037971
2000-01-14,45.39,46.42,44.36,46.42,27804847
2000-01-15,47.11,47.45,45.73,47.45,20621817
2000-01-17,47.45,48.14,46.76,47.45,13350615
2000-01-18,47.79,49.17,47.11,47.45,20376252
2000-01-19,47.45,48.83,46.76,46.76,15064132
2000-01-20,47.45,48.14,46.76,47.11,11938877
2000-01-21,48.14,50.2,48.14,50.2,20640029
2000-01-24,53.64,53.64,51.58,52.61,49071654
2000-01-25,51.58,53.3,50.54,51.92,23538399
2000-01-26,52.61,54.33,51.58,52.61,32796805
2000-01-27,52.95,53.3,51.23,51.58,14040886
2000-01-28,50.54,52.61,50.54,51.23,19570381
2000-01-29,50.2,52.61,50.2,52.61,12972848
2000-01-31,53.64,56.05,53.64,56.05,40178356
2000-02-01,57.77,59.83,57.08,59.83,38904042
2000-02-09,60.86,61.2,55.7,56.73,36195420
2000-02-10,56.05,56.39,53.64,55.01,18502579
2000-02-11,56.05,56.39,54.33,54.33,19450633
2000-02-14,54.33,56.39,52.95,55.36,16800176
2000-02-15,55.01,55.7,53.64,54.67,10336143
2000-02-16,55.36,57.77,55.01,56.39,23588452
2000-02-17,57.08,57.77,56.05,56.05,14023545
2000-02-18,58.45,59.83,57.77,58.45,64879228
2000-02-19,60.17,62.24,58.45,61.55,44442619
2000-02-21,61.55,61.55,57.42,57.42,26869912
2000-02-22,56.73,57.42,53.98,56.39,13548175
2000-02-23,56.39,58.11,56.39,56.73,12344569
2000-02-24,58.45,59.83,58.11,58.45,20524252
2000-02-25,59.14,60.52,58.45,60.52,23582005
2000-02-29,61.89,62.58,59.83,60.17,37563804
2000-03-01,61.55,61.89,60.17,60.52,16136694
2000-03-02,61.2,63.27,60.52,60.86,30610800
2000-03-03,61.2,64.99,61.2,64.3,62977783
2000-03-04,64.3,64.99,62.58,62.92,28720841
2000-03-06,62.24,64.3,61.55,62.92,16561393
2000-03-07,63.95,64.64,62.58,63.61,15923580
2000-03-08,63.95,66.71,63.61,65.67,29551566
2000-03-09,66.71,70.14,65.67,70.14,25885863
2000-03-10,72.21,74.96,71.52,71.86,37720789
2000-03-13,69.11,70.49,67.05,67.05,8379760
2000-03-14,62.58,67.05,62.58,65.33,20358006
2000-03-15,63.61,65.33,60.86,60.86,14093448
2000-03-16,56.73,58.8,56.73,57.08,11567343
2000-03-17,57.77,60.52,57.42,58.11,16094430
2000-03-20,56.39,59.48,56.39,58.8,29002205
2000-03-21,60.17,62.58,59.83,62.58,14206526
2000-03-22,64.64,66.71,63.95,66.71,32366542
2000-03-23,69.46,71.18,68.77,70.83,30645693
2000-03-24,69.11,72.21,68.42,68.42,28702290
2000-03-27,68.77,72.89,68.77,72.89,24695363
2000-03-28,75.3,77.71,73.93,77.71,47847985
2000-03-29,72.55,77.71,72.55,75.65,26103407
2000-03-30,75.3,79.08,74.96,76.33,32218427
2000-03-31,75.65,79.08,75.3,77.71,35959741
2000-04-01,80.46,82.87,78.4,82.87,22751739
2000-04-05,81.15,88.37,81.15,88.37,21364474
2000-04-06,93.18,93.18,82.52,82.52,18487619
2000-04-07,81.15,83.21,77.36,80.46,14313598
2000-04-08,82.52,85.96,81.49,84.24,12788820
2000-04-10,81.15,83.9,81.15,81.49,22759010
2000-04-11,78.4,84.24,78.4,79.43,24842445
2000-04-12,77.71,80.46,73.93,74.61,16599917
2000-04-13,70.83,72.21,69.46,70.14,11238017
2000-04-14,68.77,72.89,68.08,69.8,16063909
2000-04-15,64.99,67.05,64.99,64.99,8279495
2000-04-17,64.99,68.77,61.89,68.42,136691
2000-04-18,70.83,72.55,70.14,70.14,17540835
2000-04-19,71.86,72.89,68.77,68.77,14757990
2000-04-20,66.71,69.46,64.64,66.71,7987454
2000-04-21,66.71,69.8,65.67,67.39,11514666
2000-04-24,68.77,69.11,65.33,65.33,10594127
2000-04-25,63.95,69.8,63.95,69.8,32099704
2000-04-26,70.83,72.89,67.74,68.77,40648478
2000-04-27,69.46,71.18,67.39,68.77,24972916
2000-04-28,69.46,70.14,66.02,68.08,19452257
2000-04-29,68.08,71.18,66.71,67.39,25102454
2000-05-02,67.05,67.39,62.92,62.92,14170759
2000-05-03,58.8,58.8,58.8,58.8,1827260
2000-05-04,55.01,58.45,55.01,55.01,16133871
2000-05-05,56.05,58.8,55.01,58.8,20361105
2000-05-06,59.14,61.2,57.42,58.8,20470640
2000-05-08,58.8,59.83,57.08,57.42,7673586
2000-05-09,57.08,58.11,56.05,56.05,6048409
2000-05-10,56.39,57.77,55.7,56.05,10363776
2000-05-11,55.01,55.7,52.26,52.26,5669758
2000-05-12,53.64,55.7,53.3,55.7,15338763
2000-05-15,56.05,56.73,55.01,55.7,9803926
2000-05-16,56.39,59.48,56.05,59.48,19129434
2000-05-17,62.92,63.61,61.2,63.61,22100277
2000-05-18,63.27,65.67,62.24,64.64,24054664
2000-05-19,63.95,64.64,62.58,63.61,8029855
2000-05-20,63.27,63.95,59.48,59.83,7672683
2000-05-22,60.52,61.89,58.45,59.83,7766652
2000-05-23,59.83,60.52,58.45,59.83,5002300
2000-05-24,58.45,59.83,58.45,58.8,4246138
2000-05-25,59.48,61.55,58.8,58.8,15161040
2000-05-26,58.11,59.14,56.05,58.8,7749202
2000-05-29,59.14,60.86,57.77,58.8,7820456
2000-05-30,59.83,60.17,58.45,59.48,7643049
2000-05-31,61.89,63.27,61.2,62.24,16942382
2000-06-01,61.89,61.89,60.17,60.17,4833618
2000-06-02,61.89,62.92,60.52,60.52,9815559
2000-06-03,62.58,63.27,60.52,61.2,12361426
2000-06-05,61.2,62.24,60.52,61.2,6492811
2000-06-07,61.2,63.27,60.52,63.27,10914902
2000-06-08,63.61,63.61,60.52,61.2,6489902
2000-06-09,61.2,61.89,60.52,60.86,4410458
2000-06-12,61.55,61.55,58.8,59.83,3428902
2000-06-13,59.48,59.83,55.7,56.39,11842654
2000-06-14,56.39,57.42,55.7,56.39,8368673
2000-06-15,56.39,56.39,53.64,54.67,10308518
2000-06-16,54.67,56.39,54.33,55.36,8214532
2000-06-17,55.7,56.05,53.64,53.64,5585383
2000-06-19,53.3,53.64,52.26,52.95,3199145
2000-06-20,53.64,53.98,52.26,52.26,4715831
2000-06-21,52.26,52.61,49.51,49.51,5588325
2000-06-22,50.89,52.95,50.2,52.95,6263054
2000-06-23,53.64,54.67,53.3,53.98,6645497
2000-06-26,53.64,53.64,50.54,50.54,3408544
2000-06-27,50.2,50.89,47.11,47.11,5015387
2000-06-28,46.42,47.11,44.36,46.07,8394848
2000-06-29,46.62,47.86,44.97,45.39,14237408
2000-06-30,45.39,47.04,44.56,45.39,10088214
2000-07-03,45.8,45.8,43.32,44.56,4654514
2000-07-04,44.97,45.8,42.5,42.5,3813527
2000-07-05,42.91,45.39,42.5,45.39,12082832
2000-07-06,45.8,47.45,45.8,47.04,15455265
2000-07-07,47.45,47.86,45.39,45.8,5837228
2000-07-10,45.8,46.21,43.74,45.39,3808679
2000-07-11,44.97,47.45,44.56,46.62,6778795
2000-07-12,46.62,47.04,45.8,46.21,3323960
2000-07-13,47.45,49.1,47.04,49.1,10406916
2000-07-14,49.93,51.99,49.93,51.58,14064121
2000-07-15,51.99,51.99,49.93,50.34,5460085
2000-07-17,50.34,51.16,48.28,48.69,3842610
2000-07-18,49.1,49.93,47.86,48.69,5861464
2000-07-19,47.86,49.51,47.45,49.1,2989504
2000-07-20,48.69,48.69,46.21,46.62,2404206
2000-07-21,47.04,48.28,46.62,47.45,4670267
2000-07-24,47.45,48.28,46.21,46.62,2588399
2000-07-25,45.39,46.62,43.74,43.74,3321537
2000-07-26,43.74,45.39,42.91,44.56,4001355
2000-07-27,44.15,46.21,42.5,45.8,5542761
2000-07-28,44.97,46.62,44.56,46.21,5463995
2000-07-29,44.97,46.21,44.97,44.97,1868592
2000-07-31,43.74,44.97,43.74,44.15,1285717
2000-08-01,45.39,45.39,43.32,43.74,2032184
2000-08-02,43.74,44.15,41.67,42.09,2638083
2000-08-03,41.26,42.09,39.86,41.67,2642930
2000-08-04,42.09,43.32,41.67,42.09,4505463
2000-08-05,42.5,42.91,41.67,42.09,3017376
2000-08-07,41.67,42.5,41.26,42.09,2741086
2000-08-08,42.5,43.74,41.67,43.32,3440293
2000-08-09,44.15,46.21,43.32,46.21,7788222
2000-08-10,46.21,46.62,44.56,45.39,4896873
2000-08-11,44.97,45.8,43.74,43.74,2880443
2000-08-14,43.74,43.74,42.09,42.5,1130607
2000-08-15,42.5,43.32,42.09,42.91,2213954
2000-08-16,42.91,44.56,42.91,44.56,3654781
2000-08-17,44.56,47.45,44.56,47.45,12041631
2000-08-18,47.86,49.51,47.45,48.28,16090246
2000-08-19,48.28,51.58,47.45,51.58,16501360
2000-08-21,51.99,53.64,50.75,51.16,15404369
2000-08-22,51.16,51.16,47.86,48.28,5816628
2000-08-24,48.69,49.51,47.86,48.28,5926901
2000-08-25,48.69,49.51,48.28,48.69,8733424
2000-08-28,48.69,48.69,45.8,45.8,3607521
2000-08-29,45.39,48.69,44.56,48.28,9459291
2000-08-30,48.28,49.51,45.39,45.8,7959086
2000-08-31,45.39,48.69,45.39,48.28,10864976
2000-09-01,49.1,50.34,47.86,48.28,15830922
2000-09-02,49.51,51.58,49.51,51.58,10396342
2000-09-04,53.23,54.88,52.81,53.23,33169320
2000-09-05,52.4,53.64,51.58,53.64,14806953
2000-09-06,53.64,55.7,52.4,52.81,22837535
2000-09-07,51.99,53.64,51.58,52.4,11514499
