Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-04,4730,5210,4340,5100,46949
2000-01-05,5090,5300,4800,4950,46050
2000-01-06,4950,5050,4650,4800,48885
2000-01-07,4960,5090,4900,4950,92470
2000-01-10,4990,5500,4950,5450,125887
2000-01-11,5650,5800,5210,5280,83988
2000-01-12,5100,5200,4850,5100,60517
2000-01-13,5380,5710,5260,5600,241947
2000-01-14,5700,6200,5620,6050,307170
2000-01-17,6100,6450,5820,5900,216705
2000-01-18,5900,5900,5250,5380,119037
2000-01-19,5350,5380,4850,4900,102396
2000-01-20,4900,4900,4500,4690,53393
2000-01-21,4800,4980,4720,4900,40567
2000-01-24,4910,5200,4700,5000,72432
2000-01-25,5200,5200,4800,4940,34178
2000-01-26,5000,5000,4800,4850,28104
2000-01-27,4800,5200,4800,5160,44982
2000-01-28,5150,5170,4900,4970,46603
2000-01-31,4880,5030,4750,4950,50292
2000-02-01,5060,5100,4960,5000,61451
2000-02-02,5000,5020,4900,5000,70511
2000-02-03,5000,5070,4950,5000,71237
2000-02-07,5000,5390,4920,5080,123677
2000-02-08,5030,5030,4910,4990,85387
2000-02-09,5000,5000,4890,4900,60026
2000-02-10,4850,4850,4700,4780,57864
2000-02-11,4780,4790,4230,4400,129095
2000-02-14,4300,4300,4050,4290,67949
2000-02-15,4280,4580,4080,4140,59865
2000-02-16,4100,4200,3970,4070,29792
2000-02-17,4080,4150,4000,4050,35830
2000-02-18,4150,4190,3970,4070,60117
2000-02-21,4070,4070,3680,3760,47478
2000-02-22,3700,3750,3530,3570,40577
2000-02-23,3490,3990,3490,3990,83347
2000-02-24,4100,4100,3680,3800,46542
2000-02-25,3800,3900,3530,3710,57560
2000-02-28,3750,3750,3520,3620,31503
2000-02-29,3700,3900,3550,3680,64824
2000-03-02,3680,3800,3600,3750,79405
2000-03-03,3750,3760,3500,3560,58373
2000-03-06,3590,3850,3590,3790,86011
2000-03-07,3750,4240,3700,4060,180826
2000-03-08,4100,4390,3950,3990,130446
2000-03-09,4000,4210,3860,3900,102681
2000-03-10,3840,4000,3760,3860,79493
2000-03-13,3800,3840,3710,3720,58285
2000-03-14,3720,3940,3650,3750,62114
2000-03-15,3800,3800,3620,3650,46151
2000-03-16,3720,3880,3600,3670,66300
2000-03-17,3750,3780,3660,3770,57234
2000-03-20,3790,3790,3620,3670,33620
2000-03-21,3790,3790,3540,3590,34774
2000-03-22,3590,3800,3590,3720,96882
2000-03-23,3620,3670,3500,3560,64385
2000-03-24,3560,3580,3450,3520,53283
2000-03-27,3450,3550,3450,3530,19990
2000-03-28,3530,3630,3510,3590,48075
2000-03-29,3590,3630,3520,3550,51484
2000-03-30,3530,3550,3340,3420,59285
2000-03-31,3500,3550,3300,3320,35286
2000-04-03,3270,3270,3060,3130,34383
2000-04-04,3180,3300,3130,3210,67121
2000-04-06,3210,3240,3100,3120,27575
2000-04-07,3070,3280,3060,3200,38454
2000-04-10,3150,3270,3080,3240,65335
2000-04-11,3240,3240,3110,3180,40757
2000-04-12,3020,3520,3020,3250,67096
2000-04-14,3240,3640,3240,3640,164287
2000-04-17,3640,4060,3500,3790,349933
2000-04-18,4100,4100,3600,3610,143225
2000-04-19,3630,3820,3490,3500,105229
2000-04-20,3350,3660,3300,3520,55656
2000-04-21,3590,3590,3360,3430,63847
2000-04-24,3310,3440,3310,3310,62208
2000-04-25,3250,3300,3160,3230,34938
2000-04-26,3290,3300,3140,3230,37237
2000-04-27,3160,3230,3100,3150,30171
2000-04-28,3090,3290,3090,3200,30608
2000-05-02,3220,3400,3200,3320,27735
2000-05-03,3300,3320,3200,3280,43493
2000-05-04,3300,3310,3210,3240,31894
2000-05-08,3210,3270,3150,3230,19607
2000-05-09,3210,3230,3150,3160,17071
2000-05-10,3200,3200,3140,3190,13082
2000-05-12,3140,3180,3070,3140,13915
2000-05-15,3100,3100,2900,3000,22286
2000-05-16,2820,3000,2820,2910,35841
2000-05-17,3000,3000,2650,2790,35918
2000-05-18,2680,2770,2460,2700,58450
2000-05-19,2820,2820,2510,2650,32845
2000-05-22,2600,2650,2500,2560,28728
2000-05-23,2260,2860,2260,2860,66000
2000-05-24,3160,3200,2900,3200,61506
2000-05-25,3580,3580,3400,3580,86082
2000-05-26,3800,3800,3160,3250,90541
2000-05-29,2920,3640,2920,3640,108189
2000-05-30,4070,4070,3220,3590,391083
2000-05-31,3450,3900,3450,3610,250224
2000-06-01,3610,3700,3300,3380,73056
2000-06-02,3400,3780,3380,3780,384863
2000-06-05,4190,4230,4000,4230,127985
2000-06-07,4230,4730,4200,4730,279316
2000-06-08,5290,5290,4300,4900,384181
2000-06-09,4490,4590,4320,4320,162661
2000-06-12,4130,4830,3870,4830,323750
2000-06-13,4830,5300,4360,5160,516135
2000-06-14,5160,5190,5000,5040,244292
2000-06-15,5050,5260,5040,5250,267045
2000-06-16,5250,5880,5250,5880,812676
2000-06-19,5800,6240,5750,5860,513759
2000-06-20,6000,6480,5770,6290,600876
2000-06-21,6010,6390,5700,5880,616972
2000-06-22,5800,6040,5720,5900,297932
2000-06-23,5710,5950,5590,5910,220928
2000-06-26,5760,6610,5700,6610,463298
2000-06-27,6610,7400,6610,7400,410818
2000-06-28,7390,7790,6700,6900,794584
2000-06-29,6850,7210,6660,7150,307409
2000-06-30,7100,7700,6840,7200,482662
2000-07-03,6700,7350,6700,7300,401250
2000-07-04,7300,7490,6600,6600,285712
2000-07-05,6600,6850,5820,6670,737442
2000-07-06,6600,6670,5870,5870,591743
2000-07-07,5510,6000,5220,5450,577985
2000-07-10,5540,5740,5200,5590,370289
2000-07-11,5700,6260,5610,5900,921747
2000-07-12,5900,6000,5400,5440,299201
2000-07-13,5400,5550,5150,5360,187722
2000-07-14,5360,5700,5010,5490,372533
2000-07-18,5380,5380,4840,4940,174004
2000-07-19,4720,5240,4650,5200,385338
2000-07-20,5010,5380,4920,5240,376481
2000-07-21,5330,5380,5060,5100,277595
2000-07-24,5020,5240,4650,4700,235210
2000-07-25,4700,4890,4600,4810,183295
2000-07-26,4710,4820,4560,4670,207124
2000-07-27,4450,4760,4380,4420,181495
2000-07-28,4410,4450,4010,4050,122065
2000-07-31,3980,4180,3880,4180,127244
2000-08-01,4130,4450,4130,4450,122146
2000-08-03,4600,4800,4480,4490,129374
2000-08-04,4500,4670,4280,4450,137917
2000-08-07,4550,4550,4200,4220,85157
2000-08-08,4210,4300,4050,4100,52713
2000-08-09,4030,4280,4030,4250,101329
2000-08-10,4300,4330,4160,4200,83688
2000-08-11,4220,4260,4150,4180,84763
2000-08-14,4250,4420,4250,4360,137111
2000-08-16,4400,4580,4350,4580,177881
2000-08-17,4550,4680,4450,4500,229083
2000-08-18,4450,4510,4290,4350,140360
2000-08-21,4250,4310,4170,4230,62988
2000-08-22,4200,4380,4180,4280,197173
2000-08-23,4310,4430,4220,4230,278858
2000-08-24,4330,4330,4050,4050,226148
2000-08-25,3990,4100,3940,4000,141432
2000-08-28,4000,4100,3960,4100,98292
2000-08-29,4150,4160,3990,4020,123367
2000-08-30,4020,4240,3930,3940,1470241
2000-08-31,3910,3910,3740,3770,447192
2000-09-01,3810,3840,3730,3740,196201
2000-09-04,3640,3720,3610,3650,231365
2000-09-05,3600,3660,3520,3600,202546
2000-09-06,3600,3740,3600,3710,196107
2000-09-07,3750,3770,3640,3710,200054
2000-09-08,3700,4090,3700,3980,521387
2000-09-14,4000,4250,3980,4190,504154
2000-09-15,4200,4240,3710,4000,275266
2000-09-18,3800,3800,3520,3540,269341
2000-09-19,3500,3590,3370,3520,169172
2000-09-20,3580,3760,3570,3700,216529
2000-09-21,3680,3680,3520,3590,119218
2000-09-22,3620,3750,3500,3600,129348
2000-09-25,3800,4030,3750,4030,400314
2000-09-26,4030,4080,3850,3870,1095838
2000-09-27,3800,3930,3780,3830,315947
2000-09-28,3990,3990,3610,3820,385019
2000-09-29,3870,3910,3810,3830,280899
